Time	H2O2(8.8mM)_1	H2O2(8.8mM)_2	H2O2(8.8mM)_3	H2O2(4.4mM)_1	H2O2(4.4mM)_2	H2O2(4.4mM)_3	H2O2(2.2mM)_1	H2O2(2.2mM)_2	H2O2(2.2mM)_3	H2O2(1.1mM)_1	H2O2(1.1mM)_2	H2O2(1.1mM)_3	H2O2(0.55mM)_1	H2O2(0.55mM)_2	H2O2(0.55mM)_3	H2O2(0.275mM)_1	H2O2(0.275mM)_2	H2O2(0.275mM)_3	H2O2(0.135mM)_1	H2O2(0.135mM)_2	H2O2(0.135mM)_3	H2O2(0mM)_1	H2O2(0mM)_2	H2O2(0mM)_3
0:00:00	0.094	0.102	0.102	0.091	0.102	0.109	0.091	0.103	0.102	0.09	0.102	0.103	0.091	0.102	0.102	0.091	0.102	0.091	0.091	0.091	0.094	0.09	0.091	0.091
0:20:00	0.099	0.093	0.093	0.093	0.094	0.092	0.096	0.096	0.093	0.094	0.094	0.093	0.094	0.095	0.094	0.096	0.099	0.094	0.095	0.096	0.102	0.098	0.1	0.093
0:40:00	0.115	0.092	0.093	0.093	0.093	0.092	0.095	0.097	0.092	0.093	0.093	0.093	0.094	0.095	0.093	0.095	0.1	0.093	0.1	0.096	0.096	0.098	0.097	0.093
1:00:00	0.117	0.092	0.092	0.093	0.092	0.092	0.095	0.096	0.092	0.093	0.093	0.092	0.094	0.095	0.093	0.095	0.099	0.093	0.102	0.097	0.096	0.096	0.097	0.096
1:20:00	0.094	0.092	0.092	0.093	0.092	0.092	0.095	0.096	0.092	0.093	0.094	0.095	0.095	0.096	0.094	0.094	0.1	0.094	0.097	0.094	0.096	0.093	0.099	0.093
1:40:00	0.114	0.092	0.092	0.092	0.092	0.091	0.095	0.097	0.092	0.094	0.095	0.096	0.095	0.096	0.095	0.097	0.101	0.094	0.103	0.095	0.097	0.096	0.1	0.097
2:00:00	0.094	0.092	0.092	0.092	0.092	0.091	0.095	0.096	0.092	0.094	0.095	0.095	0.095	0.097	0.095	0.097	0.101	0.095	0.096	0.096	0.098	0.095	0.101	0.097
2:20:00	0.116	0.092	0.092	0.093	0.092	0.092	0.095	0.097	0.093	0.095	0.096	0.096	0.096	0.098	0.096	0.1	0.102	0.097	0.108	0.097	0.1	0.096	0.102	0.098
2:40:00	0.096	0.092	0.092	0.093	0.092	0.092	0.095	0.097	0.093	0.095	0.096	0.096	0.097	0.099	0.097	0.101	0.103	0.097	0.097	0.098	0.101	0.096	0.103	0.099
3:00:00	0.097	0.092	0.092	0.092	0.093	0.092	0.096	0.097	0.093	0.096	0.097	0.097	0.098	0.1	0.098	0.102	0.104	0.098	0.1	0.099	0.102	0.097	0.104	0.1
